circuit_fn,optimizer,num_layers,score_davies,score_calinski,score_silhouette,cost,weights,bias,qnode,composite_score
circuit_type1,SPSAOptimizer,2,1.0139018366182229,94.13615586428514,0.39723971735403846,-0.27250591864500057,"[[[-0.26322885680793784, -1.368924076549563, 2.2073670486103683], [0.668024107093432, 2.745354804845921, 2.195982587550818]], [[-2.0258234769640535, -1.4801600563064155, -0.5837836957637771], [1.7474945759834997, 0.7095954062796433, 0.18578196756968235]]]",0.006460520506786214,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.8579622841498988
circuit_type1,NesterovMomentumOptimizer,2,0.9774232246027995,93.71727184648232,0.39981540613433864,-0.3622262991008751,"[[[-2.7375578284264726, 3.380986614311903, -0.4551829787235899], [2.3600902831884434, -1.571492164157968, 0.26676912213250975]], [[0.45054098921732066, 2.5086711545903624, 0.01743113440392241], [3.030653718211897, 1.8889282360224287, -1.0957535714649551]]]",-0.0031965452342687098,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.972665257035935
circuit_type1,GradientDescentOptimizer,2,0.9857300328867826,94.09383439128756,0.4010704131901349,-0.22946368731422392,"[[[-0.42198976115479486, -1.3232672089413275, -1.5066728348445664], [1.7175323794634494, 1.5068958803723755, 0.6377618119353385]], [[2.2935311099398605, -0.5539568872111471, 0.4884886184146424], [-1.7155395140761847, 1.649505871176641, -2.4566926440044314]]]",0.004949364623094184,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.8083941900290496
circuit_type1,AdamOptimizer,2,8.242184581943565,1.4935029101866804,0.08552628635209589,-0.12932959777447742,"[[[1.580532566604062, 2.142197265840383, 3.1056489757112566], [2.496120699661339, 2.682419959738945, 2.5938588110417022]], [[-1.3016861756765483, -0.9573097715226005, 0.5593679002517193], [-1.4322597185801413, -1.3990217332158421, 1.4695890870917296]]]",0.13938530787550193,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.0
circuit_type1,SPSAOptimizer,4,0.9602671670919863,91.81875207958599,0.3983403683073043,-0.29413642401280793,"[[[2.7584692765465615, -2.002277004537366, -2.183660480356828], [-2.870009264301049, 0.9419832350027147, 0.11972446886556914]], [[0.3526244335252141, 0.3805265356376659, 2.1219653656788555], [0.8799814650506123, -0.8678908700142539, -1.904732913291897]], [[-0.6663332300545372, -1.9123576893687213, -1.3272839618653944], [0.12921534296316947, -0.6351572863633864, -2.478423615400885]], [[-1.3878973288359686, 0.27877149243529376, 1.432375513416163], [-2.4501443856241645, -1.6192621605360136, 1.276218629603765]]]",0.0393218612408369,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.8826929888009611
circuit_type1,NesterovMomentumOptimizer,4,0.9560460698171338,96.52976820549651,0.40752085180151615,-0.3442367313493049,"[[[2.9550456652905264, -1.8596762165375835, 0.01417908712410582], [-0.09155278435451202, -2.6427146492064955, -1.60396296385532]], [[-1.9385362925593883, 0.9135928295073048, -1.1684956815921854], [-1.2445163911146389, 0.3876903755278556, -2.9889706196035712]], [[2.7946450869865203, 2.494138930517692, 3.0169167148298897], [-1.200703430068461, 0.7138107005038453, 1.5784718274545402]], [[-0.45051408784259284, 1.2847119027101872, -1.951904163998886], [0.7540778228261504, -2.5919580978660073, -0.04880518904622644]]]",0.03524595978187428,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.9637577259960728
circuit_type1,GradientDescentOptimizer,4,0.9901722812139484,32.80163667741748,0.2377337730894468,-0.18831981899271727,"[[[2.4743251245631908, -1.0710382194545813, -2.3209558438656197], [0.19269601792716215, 2.89906112054358, -0.33925692710643357]], [[0.29499773626967973, -0.21871023836282633, -0.10097964705326351], [-2.606000585083231, 0.4014704117184048, 1.4197603549137705]], [[0.8779229244099809, 0.7258721447482761, 0.7061079762371802], [2.659591356745861, 1.9074001954800255, 1.67230452978932]], [[2.5790883103341775, 3.002818848894652, 0.7478148486204792], [1.7228303202205943, -0.8825062469091538, -1.0742898897843616]]]",-0.0034533440363891544,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.47772582033722066
circuit_type1,AdamOptimizer,4,0.9560460698171338,96.52976820549651,0.40752085180151615,-0.35330344123459584,"[[[0.11219316629996533, 1.056173940381744, -0.7990598459873104], [0.3066381521451449, -0.23132329954631586, -1.797632902439028]], [[-1.6818526584377744, 3.072776112386844, -2.9272452078134705], [-2.841555378669705, -2.726827288316405, -2.5509942013599547]], [[-2.516135137647156, 0.5536436628870056, 0.7734676077546934], [3.4587392143930815, 2.0131609726205566, 0.767118639058306]], [[-1.8729989243604812, -2.162761557485221, 1.5325767335328193], [2.2890518685623773, 2.26581268854252, 3.0484347258752353]]]",0.02112527220823694,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.9750939032545234
circuit_type3,SPSAOptimizer,2,1.0906549316856928,80.47186891227103,0.3714026615130633,-0.3157224824809183,"[[[1.7142858601181912, 0.7269312762636113, -2.604846269829459], [2.9817862171087337, -0.6080918576312193, 0.415737274266879], [-3.013374623916689, 1.8374676846567812, 0.9150571129829821], [-2.4245958352564245, 1.3519475460299484, 0.6188824244154059], [0.5598552874383733, -1.1793414018996065, -3.0076658487926347], [-1.7855350198199762, -2.064097972488443, 1.4960956869380722]], [[-0.08935994147079966, 0.7872484776505235, -2.6791353874199073], [2.068601269611961, -1.946501859242502, 1.395387868991687], [-1.2786925547088057, 0.032256623839072934, 1.0422470335883662], [1.9575191728591421, 0.6451289323552267, 1.5697220482784155], [2.5802777812557687, -0.9682923845401661, -0.23221098155671963], [2.0982146481184087, -2.920868872996361, 2.287191321463935]]]",-0.01400433936954283,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.8575393030390883
circuit_type3,NesterovMomentumOptimizer,2,0.9625278085133729,85.79801935391596,0.3897414371593831,-0.34088323852187385,"[[[2.465426204123022, 0.8403784296754238, 0.08221485086051686], [0.20330523422165764, -1.6943337518638577, 2.207772088091648], [-1.4080434862029787, -1.9499557035994488, 0.09377062127600583], [-2.321007980882378, -0.4897589391792482, 3.0301242963530926], [-1.0996719453742694, -0.5347061866455922, 0.5357710556993894], [2.3479278441172586, 2.3700072608466263, 1.8274689861739886]], [[-0.8677398750066401, -1.557059858682488, 3.1451361182094923], [-0.8602095604148579, 2.376094434819557, -0.4808505878635543], [-0.634849365513002, 1.8307286246662484, 0.7311218122037694], [1.1916171441032726, 2.0094547954442152, 2.669664708261405], [1.9243881884747758, 2.2090511958340118, 0.6670405745001253], [1.6243577790568708, -1.5667664069716858, -0.4094815053301315]]]",0.02010112384173696,"<QNode: wires=2, device='lightning.gpu', interface='autograd', diff_method='parameter-shift'>",0.9205999318474942
